1 | activity tailoring |   funded 400 |  country BO |   journal_entries 2 | 
1 | activity general store |   funded 300 |  country BO |   journal_entries 2 | 
1 | activity carpentry |   funded 600 |  country BO |   journal_entries 2 | 
1 | activity retail |   funded 100 |  country BO |   journal_entries 2 | 
1 | activity transportation |   funded 1000 |  country BO |   journal_entries 2 | 
1 | activity bakery |   funded 350 |  country BO |   journal_entries 2 | 
1 | activity clothing sales |   funded 400 |  country BO |   journal_entries 2 | 
1 | activity shoe sales |   funded 150 |  country BO |   journal_entries 2 | 
1 | activity carpentry |   funded 450 |  country BO |   journal_entries 2 | 
1 | activity retail |   funded 800 |  country BO |   journal_entries 3 | 
1 | activity dairy |   funded 800 |  country BO |   journal_entries 2 | 
1 | activity general store |   funded 400 |  country BO |   journal_entries 2 | 
1 | activity services |   funded 500 |  country BO |   journal_entries 2 | 
1 | activity transportation |   funded 500 |  country BO |   journal_entries 2 | 
1 | activity transportation |   funded 700 |  country BO |   journal_entries 2 | 
1 | activity taxi |   funded 700 |  country BO |   journal_entries 2 | 
1 | activity spare parts |   funded 400 |  country BO |   journal_entries 2 | 
1 | activity souvenir sales |   funded 425 |  country BO |   journal_entries 2 | 
1 | activity dairy |   funded 800 |  country BO |   journal_entries 2 | 
1 | activity call center |   funded 575 |  country BO |   journal_entries 1 | 
1 | activity cafe |   funded 300 |  country BO |   journal_entries 2 | 
1 | activity cosmetics sales |   funded 375 |  country BO |   journal_entries 2 | 
1 | activity cobbler |   funded 300 |  country BO |   journal_entries 2 | 
1 | activity catering |   funded 575 |  country BO |   journal_entries 2 | 
1 | activity clothing sales |   funded 400 |  country BO |   journal_entries 2 | 
1 | activity retail |   funded 1175 |  country BO |   journal_entries 2 | 
1 | activity call center |   funded 575 |  country BO |   journal_entries 2 | 
1 | activity retail |   funded 575 |  country BO |   journal_entries 2 | 
1 | activity cheese making |   funded 800 |  country BO |   journal_entries 2 | 
1 | activity clothing sales |   funded 4450 |  country BO |   journal_entries 1 | 
1 | activity food market |   funded 3075 |  country BO |   journal_entries 1 | 
1 | activity food market |   funded 3775 |  country BO |   journal_entries 0 | 
1 | activity retail |   funded 2750 |  country BO |   journal_entries 0 | 
